MD5,trial,label,PennElementType,PennElementName,Parameter,Value,participant_id,group,no,item,exp,condition,cb,left,right,target,results_time,event_time,elapsed_ms
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r6,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:43.909000+00:00,755.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Key,r7,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:44.756000+00:00,847.0
5ea96059c7f8c9bb71d4ecdb67ea496e,10,experiment,Selector,choice_selector,Selection,right_canvas,60d26e7cd9f0761e4d12b9f8,a,15,5,1,contrastive,n,5a,5b,5b,2025-09-22 16:33:59+00:00,2025-09-22 16:07:48.839000+00:00,4083.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,EyeTracker,tracker,calibration,70,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:07:52.879000+00:00,4035.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,EyeTracker,tracker,Filename,httpsfarmpcibexnetpzCPVqO/e48687db-1afc-905a-9709-fabcc6e4dfe4,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:11.370000+00:00,18491.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Canvas,right_canvas,Print,NA,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:07.799000+00:00,-3571.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,r0,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:07:59.405000+00:00,-8394.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,r1,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:00.235000+00:00,830.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,r2,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:01.088000+00:00,853.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,r3,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:01.866000+00:00,778.0
5ea96059c7f8c9bb71d4ecdb67ea496e,11,experiment,Key,r4,PressedKey,,60d26e7cd9f0761e4d12b9f8,a,94,28,2,other-directed-x,y,Mária,Julcsi,Julcsi,2025-09-22 16:33:59+00:00,2025-09-22 16:08:03.181000+00:00,1315.0
