results_time,participant_id,group,trial,label,no,item,exp,condition,cb,left,right,target,r1,r2,r3,r4,r5,r6,r7,question_rt,choice_rt,choice,mismatch,chosen_type,dominant,prop_left,prop_right,total_dwell,dwell_left,dwell_right,n_fix_left,n_fix_right,transitions,tff,ffl,fixations_left,fixations_right,fixation_count_total,revisits_left,revisits_right,revisits_total
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,25,experiment,48,16,1,contrastive,y,16b,16a,16b,451.0,398.0,458.0,467.0,448.0,445.0,918.0,,1263.0,left,False,B,left,1.0,0.0,1.14,1.14,0.0,3.0,0.0,0.0,0.0,left,3.0,0.0,3.0,2.0,0.0,2.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,24,experiment,50,17,1,focus,y,17b,17a,,423.0,393.0,350.0,405.0,1088.0,780.0,1119.0,,1520.0,right,False,A,right,0.36,0.64,1.26,0.46,0.81,1.0,2.0,2.0,0.0,right,1.0,2.0,3.0,0.0,1.0,1.0
2025-10-06 21:02:00,5b93d1913dca6000012c5fdc,c,38,experiment,52,18,1,exclusive,y,18b,18a,18a,448.0,348.0,1172.0,443.0,536.0,494.0,446.0,,6264.0,right,False,A,right,0.47,0.53,6.27,2.96,3.31,2.0,3.0,4.0,0.0,right,2.0,3.0,5.0,1.0,2.0,3.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,36,experiment,1,1,1,exclusive,n,1a,1b,1a,483.0,411.0,433.0,511.0,520.0,726.0,651.0,,2434.0,left,False,A,left,0.63,0.37,2.02,1.27,0.75,2.0,4.0,1.0,0.0,right,2.0,4.0,6.0,1.0,3.0,4.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,50,experiment,6,2,1,contrastive,y,2b,2a,2b,409.0,368.0,328.0,372.0,338.0,320.0,341.0,,1971.0,left,False,B,left,0.85,0.15,1.8,1.53,0.27,2.0,2.0,3.0,0.0,right,2.0,2.0,4.0,1.0,1.0,2.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,18,experiment,8,3,1,focus,y,3b,3a,,426.0,524.0,259.0,334.0,338.0,404.0,463.0,,2060.0,right,False,A,right,0.36,0.64,1.72,0.63,1.1,4.0,3.0,1.0,0.0,left,4.0,3.0,7.0,3.0,2.0,5.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,43,experiment,10,4,1,exclusive,y,4b,4a,4a,476.0,364.0,425.0,523.0,443.0,493.0,792.0,,1837.0,right,False,A,right,0.19,0.81,1.74,0.33,1.41,2.0,3.0,3.0,0.0,left,2.0,3.0,5.0,1.0,2.0,3.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,10,experiment,15,5,1,contrastive,n,5a,5b,5b,495.0,451.0,453.0,440.0,462.0,491.0,708.0,,1497.0,right,False,B,right,0.16,0.84,1.43,0.23,1.2,2.0,2.0,3.0,0.0,left,2.0,2.0,4.0,1.0,1.0,2.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,13,experiment,17,6,1,focus,n,6a,6b,,454.0,368.0,369.0,459.0,464.0,393.0,618.0,,1444.0,left,False,A,left,1.0,0.0,1.47,1.47,0.0,1.0,0.0,0.0,0.0,left,1.0,0.0,1.0,0.0,0.0,0.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,49,experiment,19,7,1,exclusive,n,7a,7b,7a,422.0,338.0,334.0,351.0,431.0,452.0,454.0,,1754.0,left,False,A,left,0.88,0.12,1.64,1.45,0.19,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,47,experiment,24,8,1,contrastive,y,8b,8a,8b,409.0,365.0,395.0,390.0,402.0,395.0,403.0,,1985.0,left,False,B,left,0.85,0.15,1.77,1.5,0.27,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,35,experiment,26,9,1,focus,y,9b,9a,,411.0,289.0,576.0,21.0,1232.0,474.0,951.0,,1939.0,right,False,A,right,0.23,0.77,1.94,0.44,1.5,2.0,3.0,4.0,0.0,right,2.0,3.0,5.0,1.0,2.0,3.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,45,experiment,28,10,1,exclusive,y,10b,10a,10a,550.0,414.0,464.0,414.0,416.0,410.0,443.0,,2207.0,right,False,A,right,0.09,0.91,2.16,0.19,1.97,1.0,1.0,1.0,0.0,left,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,42,experiment,33,11,1,contrastive,n,11a,11b,11b,484.0,471.0,443.0,463.0,441.0,435.0,623.0,,1488.0,right,False,B,right,0.0,1.0,1.33,0.0,1.33,0.0,1.0,0.0,0.0,right,0.0,1.0,1.0,0.0,0.0,0.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,27,experiment,35,12,1,focus,n,12a,12b,,545.0,316.0,313.0,322.0,309.0,335.0,554.0,,1671.0,left,False,A,left,0.87,0.13,1.04,0.9,0.14,3.0,1.0,2.0,0.0,left,3.0,1.0,4.0,2.0,0.0,2.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,38,experiment,37,13,1,exclusive,n,13a,13b,13a,475.0,353.0,325.0,591.0,490.0,493.0,630.0,,2297.0,left,False,A,left,0.62,0.38,2.08,1.28,0.8,1.0,1.0,1.0,0.0,right,1.0,1.0,2.0,0.0,0.0,0.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,31,experiment,42,14,1,contrastive,y,14b,14a,14b,436.0,362.0,1127.0,464.0,408.0,861.0,895.0,,3260.0,left,False,B,left,0.64,0.36,3.18,2.02,1.16,2.0,2.0,3.0,0.0,right,2.0,2.0,4.0,1.0,1.0,2.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,29,experiment,44,15,1,focus,y,15b,15a,,438.0,348.0,384.0,401.0,384.0,453.0,430.0,,1879.0,right,False,A,right,0.23,0.77,1.79,0.41,1.39,1.0,2.0,1.0,0.0,left,1.0,2.0,3.0,0.0,1.0,1.0
2025-10-07 09:30:23,5c5c785fc9735b00010ced0b,a,40,experiment,46,16,1,exclusive,y,16b,16a,16a,429.0,358.0,373.0,414.0,432.0,475.0,762.0,,1904.0,right,False,A,right,0.23,0.77,1.8,0.41,1.39,1.0,1.0,1.0,0.0,left,1.0,1.0,2.0,0.0,0.0,0.0
