trial,_right_canvas_practice,times,_left_canvas_practice,_left_canvas,_right_canvas,
14,,1814,,1,0,
14,,1859,,1,0,
14,,1903,,0,0,
14,,1945,,1,0,
14,,1987,,1,0,
14,,2029,,1,0,
14,,2071,,1,0,
14,,2112,,1,0,
14,,2154,,1,0,
14,,2197,,0,1,
14,,2240,,1,0,
14,,2283,,1,0,
14,,2325,,0,1,
14,,2373,,1,0,
14,,2416,,0,0,
14,,2464,,1,0,
14,,2502,,1,0,
14,,2541,,0,0,
14,,2578,,1,0,
14,,2619,,1,0,
14,,2660,,1,0,
14,,2693,,1,0,
14,,2735,,0,0,
14,,2779,,0,1,
14,,2825,,0,1,
14,,2861,,0,1,
14,,2893,,0,1,
14,,2929,,0,1,
14,,2967,,0,1,
14,,3006,,0,1,
14,,3038,,0,1,
14,,3075,,0,1,
14,,3116,,0,1,
14,,3157,,0,1,
14,,3203,,0,1,
14,,3236,,0,1,
14,,3278,,0,1,
14,,3318,,0,1,
14,,3352,,1,0,
14,,3395,,1,0,
14,,3437,,0,0,
14,,3477,,0,1,
14,,3520,,0,1,
14,,3559,,0,1,
14,,3597,,0,1,
14,,3638,,0,1,
14,,3677,,0,1,
14,,3718,,0,1,
14,,3758,,0,1,
14,,3796,,0,1,
14,,3840,,0,1,
14,,3884,,0,1,
14,,3924,,0,1,
14,,3959,,0,1,
14,,3998,,0,1,
14,,4034,,0,1,
14,,4077,,0,1,
14,,4122,,0,1,
14,,4174,,0,1,
14,,4220,,0,1,
14,,4266,,0,1,
14,,4314,,0,1,
14,,4354,,0,1,
14,,4392,,0,1,
14,,4439,,0,1,
14,,4483,,0,1,
14,,4526,,0,1,
14,,4572,,0,1,
14,,4619,,0,1,
14,,4664,,0,1,
14,,4698,,0,1,
14,,4742,,0,1,
14,,4785,,0,1,
14,,4828,,0,1,
14,,4875,,0,1,
14,,4916,,0,1,
14,,4959,,0,1,
14,,5000,,0,1,
14,,5038,,0,1,
14,,5073,,0,1,
14,,5106,,0,1,
14,,5142,,0,1,
14,,5175,,0,1,
14,,5215,,0,1,
14,,5253,,0,1,
14,,5295,,0,1,
14,,5330,,0,1,
14,,5371,,0,1,
14,,5411,,0,1,
45,,0,,1,0,
45,,38,,0,1,
45,,79,,0,1,
45,,113,,1,0,
45,,151,,1,0,
45,,191,,1,0,
45,,232,,1,0,
