trial,times,_right_canvas,_left_canvas,Unnamed: 4
35,586,1,0,
36,0,1,0,
36,58,1,0,
36,112,1,0,
36,168,0,0,
36,224,1,0,
36,284,1,0,
36,335,1,0,
36,392,1,0,
36,453,1,0,
36,509,0,0,
36,560,1,0,
36,613,1,0,
36,669,1,0,
37,0,0,1,
37,65,1,0,
37,121,1,0,
37,176,0,0,
37,235,0,1,
37,292,0,0,
37,348,1,0,
37,403,1,0,
37,487,0,0,
37,541,0,1,
37,601,0,1,
37,653,0,1,
37,708,0,0,
37,768,0,1,
37,826,0,1,
37,886,0,0,
37,937,0,0,
38,0,0,0,
38,63,1,0,
38,118,0,0,
38,178,0,0,
38,234,0,0,
38,295,0,1,
38,355,0,0,
38,435,0,0,
38,513,0,1,
38,574,0,0,
38,631,1,0,
38,689,0,0,
38,740,1,0,
38,800,0,0,
38,858,0,0,
38,918,0,0,
38,969,1,0,
38,1030,1,0,
38,1086,1,0,
38,1139,0,0,
38,1196,0,0,
38,1250,1,0,
38,1306,0,0,
39,0,0,1,
39,85,0,1,
39,143,0,1,
39,206,1,0,
39,273,0,0,
39,335,0,1,
39,393,0,1,
39,448,0,1,
39,506,0,1,
39,564,0,1,
40,0,1,0,
40,60,1,0,
40,115,1,0,
40,171,0,1,
40,229,1,0,
40,283,1,0,
40,340,0,1,
40,397,0,1,
40,451,1,0,
40,508,0,0,
40,567,0,1,
40,624,0,1,
40,683,0,1,
40,736,0,1,
40,795,1,0,
40,856,0,0,
40,907,1,0,
40,966,1,0,
40,1019,1,0,
40,1075,1,0,
40,1134,1,0,
40,1188,1,0,
40,1239,1,0,
40,1296,1,0,
40,1356,1,0,
40,1417,1,0,
40,1474,1,0,
40,1531,1,0,
40,1588,1,0,
40,1649,1,0,
40,1707,1,0,
41,0,1,0,
41,57,0,1,
41,115,0,1,
41,171,0,1,
41,229,0,0,
41,289,0,1,
41,351,0,1,
41,404,0,1,
41,462,0,1,
41,517,0,1,
41,570,0,1,
41,631,0,1,
42,0,1,0,
42,67,0,0,
42,123,1,0,
42,176,0,0,
42,236,1,0,
42,295,1,0,
42,353,1,0,
42,410,1,0,
42,468,1,0,
42,527,1,0,
42,584,1,0,
42,640,1,0,
42,700,1,0,
42,760,1,0,
42,816,0,0,
42,872,1,0,
42,930,1,0,
42,990,1,0,
43,0,1,0,
43,59,1,0,
43,115,1,0,
43,167,1,0,
43,226,1,0,
43,286,1,0,
43,342,1,0,
43,401,1,0,
43,459,1,0,
43,516,1,0,
43,581,1,0,
44,0,0,1,
44,62,0,1,
44,115,0,1,
44,169,0,1,
44,227,1,0,
44,286,0,1,
44,365,0,1,
44,446,0,1,
44,504,0,1,
44,557,0,1,
44,613,1,0,
44,677,1,0,
44,728,1,0,
44,784,1,0,
44,840,1,0,
44,890,1,0,
44,941,1,0,
44,999,1,0,
44,1056,1,0,
44,1112,0,0,
45,0,0,1,
45,60,1,0,
45,118,1,0,
45,172,0,0,
45,231,0,0,
45,289,0,0,
45,341,1,0,
45,399,0,0,
45,460,0,1,
45,513,0,1,
45,568,0,1,
45,625,0,1,
45,674,0,1,
45,739,0,1,
45,796,0,1,
45,847,0,1,
45,900,1,0,
45,957,1,0,
45,1007,1,0,
45,1064,0,0,
45,1121,1,0,
45,1177,1,0,
45,1231,1,0,
45,1296,1,0,
45,1353,1,0,
45,1408,1,0,
45,1465,1,0,
45,1521,1,0,
45,1573,1,0,
45,1623,1,0,
45,1682,1,0,
45,1742,0,0,
45,1798,0,0,
45,1855,0,1,
45,1910,0,1,
45,1975,0,1,
45,2035,0,1,
45,2091,0,1,
45,2150,1,0,
45,2209,1,0,
45,2271,1,0,
45,2328,1,0,
45,2385,0,1,
45,2436,0,1,
45,2491,0,1,
45,2544,0,1,
45,2608,0,1,
45,2667,0,1,
45,2722,0,1,
45,2776,0,1,
45,2854,0,1,
45,2912,0,1,
45,2963,0,1,
45,3019,0,1,
45,3072,0,1,
45,3152,0,1,
45,3217,0,1,
45,3274,0,1,
45,3340,0,1,
45,3400,0,1,
45,3459,0,1,
46,0,0,1,
46,67,0,1,
46,120,0,0,
46,179,1,0,
46,237,0,1,
46,296,1,0,
46,355,0,1,
46,411,0,1,
46,469,0,1,
46,519,0,0,
46,579,0,0,
46,635,0,0,
46,686,0,0,
46,744,0,1,
46,796,0,1,
46,851,0,0,
46,906,0,1,
46,964,0,0,
46,1018,0,0,
46,1076,0,0,
46,1137,0,0,
46,1191,0,0,
46,1252,0,1,
46,1308,0,1,
46,1364,0,0,
47,0,0,0,
47,60,0,0,
47,115,1,0,
47,172,1,0,
47,227,1,0,
47,289,1,0,
47,348,0,0,
47,404,1,0,
47,462,1,0,
47,519,1,0,
47,577,0,0,
47,631,0,0,
47,696,1,0,
48,0,1,0,
48,57,0,0,
48,119,1,0,
48,180,1,0,
48,235,0,0,
48,292,0,1,
48,357,0,1,
48,423,0,1,
48,479,0,1,
48,534,1,0,
48,588,1,0,
48,646,1,0,
48,703,1,0,
48,757,1,0,
48,814,1,0,
48,873,1,0,
48,926,1,0,
48,985,1,0,
48,1043,1,0,
48,1095,1,0,
